name,ancestry
レディース
メンズ
ベビー・キッズ
インテリア・住まい・小物
本・音楽・ゲーム
おもちゃ・ホビー・グッズ
コスメ・香水・美容,
家電・スマホ・カメラ
スポーツ・レジャー
ハンドメイド
チケット
自動車・オートバイ
その他
トップス,1
ジャケット/アウター,1
パンツ,1
スカート,1
ワンピース,1
靴,1
ルームウェア/パジャマ,1
レッグウェア,1
帽子,1
バッグ,1
アクセサリー,1
ヘアアクセサリー,1
小物,1
時計,1
ウィッグ/エクステ,1
浴衣/水着,1
スーツ/フォーマル/ドレス,1
マタニティ,1
その他,1
トップス,2
ジャケット/アウター,2
パンツ,2
靴,2
バッグ,2
スーツ,2
帽子,2
アクセサリー,2
小物,2
時計,2
水着,2
レッグウェア,2
アンダーウェア,2
その他,2
ベビー服(女の子用)  ~95cm,3
ベビー服(男の子用)  ~95cm,3
ベビー服(男女兼用)  ~95cm,3
キッズ服(女の子用) 100cm~,3
キッズ服(男の子用) 100cm~,3
キッズ服(男女兼用) 100cm~,3
キッズ靴,3
子ども用ファッション小物,3
おむつ/トイレ/バス,3
外出/移動用品,3
授乳/食事,3
ベビー家具/寝具/室内用品,3
おもちゃ,3
行事/記念品,3
その他,3
キッチン/食器,4
ベッド/マットレス,4
ソファ/ソファベッド,4
椅子/チェア,4
机/テーブル,4
収納家具,4
ラグ/カーペット/マット,4
カーテン/ブラインド,4
ライト/照明,4
寝具,4
インテリア小物,4
季節/年中行事,4
その他,4
本,5
漫画,5
雑誌,5
CD,5
DVD/ブルーレイ,5
レコード,5
テレビゲーム,5
おもちゃ,6
タレントグッズ,6
コミック/アニメグッズ,6
トレーディングカード,6
フィギュア,6
楽器/器材,6
コレクション,6
ミリタリー,6
美術品,6
アート用品,6
その他,6
ベースメイク,7
メイクアップ,7
ネイルケア,7
香水,7
スキンケア/基礎化粧品,7
ヘアケア,7
ボディケア,7
オーラルケア,7
リラクゼーション,7
ダイエット,7
その他,7
スマートフォン/携帯電話,8
スマホアクセサリー,8
PC/タブレット,8
カメラ,8
テレビ/映像機器,8
オーディオ機器,8
美容/健康,8
冷暖房/空調,8
生活家電,8
その他,8
ゴルフ,9
フィッシング,9
自転車,9
トレーニング/エクササイズ,9
野球,9
サッカー/フットサル,9
テニス,9
スノーボード,9
スキー,9
その他スポーツ,9
アウトドア,9
その他,9
アクセサリー(女性用),10
ファッション/小物,10
アクセサリー/時計,10
日用品/インテリア,10
趣味/おもちゃ,10
キッズ/ベビー,10
素材/材料,10
二次創作物,10
その他,10
音楽,11
スポーツ,11
演劇/芸能,11
イベント,11
映画,11
施設利用券,11
優待券/割引券,11
その他,11
自動車本体,12
自動車タイヤ/ホイール,12
自動車パーツ,12
自動車アクセサリー,12
オートバイ車体,12
オートバイパーツ,12
オートバイアクセサリー,12
まとめ売り,13
ペット用品,13
食品,13
飲料/酒,13
日用品/生活雑貨/旅行,13
アンティーク/コレクション,13
文房具/事務用品,13
事務/店舗用品,13
その他,13
Tシャツ/カットソー(半袖/袖なし),1/14
Tシャツ/カットソー(七分/長袖),1/14
シャツ/ブラウス(半袖/袖なし),1/14
シャツ/ブラウス(七分/長袖),1/14
ポロシャツ,1/14
キャミソール,1/14
タンクトップ,1/14
ホルターネック,1/14
ニット/セーター,1/14
チュニック,1/14
カーディガン/ボレロ,1/14
アンサンブル,1/14
ベスト/ジレ,1/14
パーカー,1/14
トレーナー/スウェット,1/14
ベアトップ/チューブトップ,1/14
ジャージ,1/14
その他,1/14
テーラードジャケット,1/15
ノーカラージャケット,1/15
Gジャン/デニムジャケット,1/15
レザージャケット,1/15
ダウンジャケット,1/15
ライダースジャケット,1/15
ミリタリージャケット,1/15
ダウンベスト,1/15
ジャンパー/ブルゾン,1/15
ポンチョ,1/15
ロングコート,1/15
トレンチコート,1/15
ダッフルコート,1/15
ピーコート,1/15
チェスターコート,1/15
モッズコート,1/15
スタジャン,1/15
毛皮/ファーコート,1/15
スプリングコート,1/15
スカジャン,1/15
その他,1/15
デニム/ジーンズ,1/16
ショートパンツ,1/16
カジュアルパンツ,1/16
ハーフパンツ,1/16
チノパン,1/16
ワークパンツ/カーゴパンツ,1/16
クロップドパンツ,1/16
サロペット/オーバーオール,1/16
オールインワン,1/16
サルエルパンツ,1/16
ガウチョパンツ,1/16
その他,1/16
ミニスカート,1/17
ひざ丈スカート,1/17
ロングスカート,1/17
キュロット,1/17
その他,1/17
ミニワンピース,1/18
ひざ丈ワンピース,1/18
ロングワンピース,1/18
その他,1/18
ハイヒール/パンプス,1/19
ブーツ,1/19
サンダル,1/19
スニーカー,1/19
ミュール,1/19
モカシン,1/19
ローファー/革靴,1/19
フラットシューズ/バレエシューズ,1/19
長靴/レインシューズ,1/19
その他,1/19
パジャマ,1/20
ルームウェア,1/20
ソックス,1/21
スパッツ/レギンス,1/21
ストッキング/タイツ,1/21
レッグウォーマー,1/21
その他,1/21
ニットキャップ/ビーニー,1/22
ハット,1/22
ハンチング/ベレー帽,1/22
キャップ,1/22
キャスケット,1/22
麦わら帽子,1/22
その他,1/22
ハンドバッグ,1/23
トートバッグ,1/23
エコバッグ,1/23
リュック/バックパック,1/23
ボストンバッグ,1/23
スポーツバッグ,1/23
ショルダーバッグ,1/23
クラッチバッグ,1/23
ポーチ/バニティ,1/23
ボディバッグ/ウェストバッグ,1/23
マザーズバッグ,1/23
メッセンジャーバッグ,1/23
ビジネスバッグ,1/23
旅行用バッグ/キャリーバッグ,1/23
ショップ袋,1/23
和装用バッグ,1/23
かごバッグ,1/23
その他,1/23
ネックレス,1/24
ブレスレット,1/24
バングル/リストバンド,1/24
リング,1/24
ピアス(片耳用),1/24
ピアス(両耳用),1/24
イヤリング,1/24
アンクレット,1/24
ブローチ/コサージュ,1/24
チャーム,1/24
その他,1/24
ヘアゴム/シュシュ,1/25
ヘアバンド/カチューシャ,1/25
ヘアピン,1/25
その他,1/25
長財布,1/26
折り財布,1/26
コインケース/小銭入れ,1/26
名刺入れ/定期入れ,1/26
キーケース,1/26
キーホルダー,1/26
手袋/アームカバー,1/26
ハンカチ,1/26
ベルト,1/26
マフラー/ショール,1/26
ストール/スヌード,1/26
バンダナ/スカーフ,1/26
ネックウォーマー,1/26
